-march=native;-march=native;-floop-block;-floop-interchange;-floop-strip-mine;-funroll-loops;-flto;Elapsed;Grind;FOM
0;0;0;0;0;0;0;67.13;2.6676991;374.85488
0;0;0;0;0;0;1;58.60;2.3287987;429.40594
0;0;0;0;0;1;0;32.73;1.3006918;768.82165
0;0;0;0;0;1;1;34.06;1.3533524;738.90584
0;0;0;0;1;0;0;32.89;1.3070701;765.06988
0;0;0;0;1;0;1;33.50;1.331459;751.0558
0;0;0;0;1;1;0;32.86;1.3059914;765.70184
0;0;0;0;1;1;1;32.65;1.2973489;770.80267
0;0;0;1;0;0;0;33.27;1.3220905;756.37788
0;0;0;1;0;0;1;33.42;1.328049;752.98429
0;0;0;1;0;1;0;32.80;1.3033766;767.23795
0;0;0;1;0;1;1;32.97;1.3102247;763.22785
0;0;0;1;1;0;0;33.45;1.3294551;752.18787
0;0;0;1;1;0;1;32.91;1.3077172;764.69134
0;0;0;1;1;1;0;32.65;1.2974485;770.74348
0;0;0;1;1;1;1;32.85;1.3053385;766.08479
0;0;1;0;0;0;0;32.69;1.2988826;769.89252
0;0;1;0;0;0;1;32.91;1.3076394;764.7368
0;0;1;0;0;1;0;32.41;1.2880572;776.36305
0;0;1;0;0;1;1;34.31;1.3636519;733.32499
0;0;1;0;1;0;0;32.82;1.3042181;766.74291
0;0;1;0;1;0;1;33.16;1.3176931;758.90208
0;0;1;0;1;1;0;32.54;1.2932548;773.24282
0;0;1;0;1;1;1;32.63;1.2967632;771.1508
0;0;1;1;0;0;0;32.65;1.2974353;770.75136
0;0;1;1;0;0;1;32.79;1.3030442;767.43366
0;0;1;1;0;1;0;32.92;1.3082283;764.3926
0;0;1;1;0;1;1;32.70;1.299305;769.64226
0;0;1;1;1;0;0;33.66;1.3376633;747.57226
0;0;1;1;1;0;1;33.03;1.3126027;761.84513
0;0;1;1;1;1;0;32.47;1.2903347;774.99271
0;0;1;1;1;1;1;32.59;1.2950369;772.17878
0;1;0;0;0;0;0;33.60;1.3350548;749.03295
0;1;0;0;0;0;1;32.74;1.3009178;768.68809
0;1;0;0;0;1;0;32.55;1.2934348;773.13523
0;1;0;0;0;1;1;32.75;1.301652;768.25452
0;1;0;0;1;0;0;32.74;1.3010832;768.59037
0;1;0;0;1;0;1;33.53;1.3326033;750.41086
0;1;0;0;1;1;0;32.48;1.2907371;774.75112
0;1;0;0;1;1;1;32.69;1.2992625;769.66742
0;1;0;1;0;0;0;32.76;1.3019208;768.09585
0;1;0;1;0;0;1;32.64;1.2971416;770.92584
0;1;0;1;0;1;0;32.40;1.287485;776.70809
0;1;0;1;0;1;1;32.69;1.2991982;769.70549
0;1;0;1;1;0;0;33.28;1.3227057;756.02606
0;1;0;1;1;0;1;32.97;1.3102915;763.18896
0;1;0;1;1;1;0;32.47;1.290349;774.98414
0;1;0;1;1;1;1;32.68;1.2985787;770.07271
0;1;1;0;0;0;0;32.77;1.3024165;767.80351
0;1;1;0;0;0;1;32.74;1.3011621;768.54378
0;1;1;0;0;1;0;32.63;1.2967348;771.16769
0;1;1;0;0;1;1;32.77;1.3022083;767.92629
0;1;1;0;1;0;0;32.64;1.2971285;770.93366
0;1;1;0;1;0;1;32.69;1.2990544;769.79068
0;1;1;0;1;1;0;32.48;1.2908166;774.70342
0;1;1;0;1;1;1;33.78;1.342467;744.89728
0;1;1;1;0;0;0;32.90;1.3074586;764.84255
0;1;1;1;0;0;1;32.81;1.3038923;766.9345
0;1;1;1;0;1;0;32.39;1.2873135;776.81153
0;1;1;1;0;1;1;32.73;1.3004943;768.93838
0;1;1;1;1;0;0;32.70;1.2996373;769.44544
0;1;1;1;1;0;1;33.57;1.333894;749.68477
0;1;1;1;1;1;0;32.50;1.2913674;774.37297
0;1;1;1;1;1;1;32.62;1.2962518;771.45506
1;0;0;0;0;0;0;30.55;1.2140059;823.71924
1;0;0;0;0;0;1;30.30;1.2041653;830.45076
1;0;0;0;0;1;0;29.93;1.1894709;840.70995
1;0;0;0;0;1;1;31.53;1.2531597;797.98291
1;0;0;0;1;0;0;30.64;1.2178067;821.1484
1;0;0;0;1;0;1;31.56;1.2543284;797.2394
1;0;0;0;1;1;0;29.86;1.1867565;842.63286
1;0;0;0;1;1;1;30.31;1.2044351;830.26474
1;0;0;1;0;0;0;30.40;1.2082473;827.64511
1;0;0;1;0;0;1;30.63;1.2171675;821.57964
1;0;0;1;0;1;0;29.96;1.1907759;839.78854
1;0;0;1;0;1;1;31.76;1.2621292;792.31189
1;0;0;1;1;0;0;31.19;1.2394425;806.81438
1;0;0;1;1;0;1;30.82;1.2246939;816.53057
1;0;0;1;1;1;0;31.94;1.2692355;787.87585
1;0;0;1;1;1;1;32.97;1.3100577;763.32518
1;0;1;0;0;0;0;32.26;1.2821875;779.91714
1;0;1;0;0;0;1;31.08;1.2351369;809.62682
1;0;1;0;0;1;0;33.09;1.3150784;760.41093
1;0;1;0;0;1;1;31.12;1.236538;808.70948
1;0;1;0;1;0;0;34.02;1.3520151;739.63669
1;0;1;0;1;0;1;31.02;1.2326079;811.28803
1;0;1;0;1;1;0;30.44;1.2097287;826.63162
1;0;1;0;1;1;1;30.73;1.2213711;818.75198
1;0;1;1;0;0;0;33.05;1.3133042;761.43821
1;0;1;1;0;0;1;33.35;1.3253187;754.53551
1;0;1;1;0;1;0;31.70;1.2598584;793.73996
1;0;1;1;0;1;1;32.05;1.2735271;785.22082
1;0;1;1;1;0;0;31.57;1.2545691;797.0864
1;0;1;1;1;0;1;31.44;1.2494836;800.33064
1;0;1;1;1;1;0;30.66;1.2184981;820.68248
1;0;1;1;1;1;1;31.51;1.2522828;798.54168
1;1;0;0;0;0;0;32.11;1.2762057;783.57275
1;1;0;0;0;0;1;33.18;1.3185181;758.42719
1;1;0;0;0;1;0;31.93;1.2686944;788.21185
1;1;0;0;0;1;1;31.72;1.2605011;793.33528
1;1;0;0;1;0;0;33.29;1.3230027;755.85638
1;1;0;0;1;0;1;33.50;1.3313319;751.12752
1;1;0;0;1;1;0;30.97;1.2306891;812.55289
1;1;0;0;1;1;1;32.06;1.274063;784.89055
1;1;0;1;0;0;0;32.79;1.3031;767.4008
